MsgID.STATE,1520866747.2756999,False,False
MsgID.LOCAL_POSITION,1520866764.4381368,0.1234460,0.0626930,-0.2296122
MsgID.LOCAL_VELOCITY,1520866764.4381368,0.0000060,0.0000007,0.0000143
MsgID.GLOBAL_POSITION,1520866764.4386370,-122.3974498,37.7924790,0.2340000
MsgID.LOCAL_VELOCITY,1520866764.4386370,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520866764.4386370,-0.1001060,0.0114258,-0.2348925
MsgID.LOCAL_VELOCITY,1520866764.4386370,-0.0000076,-0.0000223,0.0000185
MsgID.LOCAL_POSITION,1520866764.4386370,-0.0517381,0.0163964,-0.2273360
MsgID.LOCAL_VELOCITY,1520866764.4386370,-0.0000166,-0.0000095,0.0000230
MsgID.GLOBAL_POSITION,1520866764.4386370,-122.3974498,37.7924795,0.2270000
MsgID.LOCAL_VELOCITY,1520866764.4386370,0.0000000,0.0000000,0.0000000
MsgID.STATE,1520866764.4391370,True,True
MsgID.GLOBAL_HOME,1520866764.4391370,-122.3974500,37.7924800,0.0000000
MsgID.LOCAL_POSITION,1520866764.4391370,-0.0427623,-0.0650096,-0.2059186
MsgID.LOCAL_VELOCITY,1520866764.4391370,0.0000190,-0.0000037,0.0000206
MsgID.GLOBAL_POSITION,1520866764.4396377,-122.3974507,37.7924796,0.2050000
MsgID.LOCAL_VELOCITY,1520866764.4396377,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520866764.4396377,-0.1505035,-0.1515481,-0.1785960
MsgID.LOCAL_VELOCITY,1520866764.4396377,-0.0000015,0.0000121,0.0000180
MsgID.GLOBAL_POSITION,1520866764.4396377,-122.3974517,37.7924786,0.1780000
MsgID.LOCAL_VELOCITY,1520866764.4396377,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520866764.4401383,-0.0234078,0.1078862,-0.1425112
MsgID.LOCAL_VELOCITY,1520866764.4401383,0.0000088,0.0000060,0.0000228
MsgID.GLOBAL_POSITION,1520866764.4401383,-122.3974487,37.7924797,0.1420000
MsgID.LOCAL_VELOCITY,1520866764.4401383,0.0000000,0.0000000,0.0000000
MsgID.GLOBAL_POSITION,1520866764.4401383,-122.3974504,37.7924797,0.1110000
MsgID.LOCAL_VELOCITY,1520866764.4401383,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520866764.4406388,-0.0264260,-0.0410914,-0.1110714
MsgID.LOCAL_VELOCITY,1520866764.4406388,0.0000128,0.0000077,0.0000220
MsgID.STATE,1520866764.4411397,True,True
MsgID.GLOBAL_HOME,1520866764.4411397,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1520866764.4411397,-122.3974516,37.7924798,0.0820000
MsgID.LOCAL_VELOCITY,1520866764.4411397,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520866764.4411397,-0.0124069,-0.1447347,-0.0828925
MsgID.LOCAL_VELOCITY,1520866764.4411397,-0.0000044,-0.0000035,0.0000108
MsgID.GLOBAL_POSITION,1520866764.4416394,-122.3974501,37.7924788,0.0710000
MsgID.LOCAL_VELOCITY,1520866764.4416394,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520866764.4416394,-0.1327750,-0.0138377,-0.0712591
MsgID.LOCAL_VELOCITY,1520866764.4416394,0.0000091,-0.0000146,0.0000175
MsgID.GLOBAL_POSITION,1520866764.4416394,-122.3974481,37.7924793,0.0770000
MsgID.LOCAL_VELOCITY,1520866764.4416394,0.0000000,0.0000000,0.0000000
